EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 120960/120960"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/03/15 10:27:46"

"V1: 1.000000, 1.593750"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1","Volt min 1","Volt max 1"
236,3.057256,2.673162,3.080447
237,3.057110,2.671728,3.081881
238,3.056782,2.670294,3.077579
239,3.056288,2.671728,3.077579
240,3.056310,2.671728,3.077579
241,3.055592,2.670294,3.076144
242,3.055182,2.670294,3.077579
243,3.055246,2.667426,3.077579
244,3.054968,2.668860,3.076144
245,3.054498,2.668860,3.076144
246,3.054107,2.664558,3.079013
247,3.054108,2.665992,3.076144
248,3.053651,2.667426,3.074710
249,3.053626,2.663124,3.074710
250,3.053381,2.665992,3.074710
251,3.053118,2.665992,3.074710
252,3.052603,2.658821,3.074710
253,3.052302,2.664558,3.073276
254,3.051875,2.661690,3.073276
255,3.051527,2.660255,3.073276
256,3.051162,2.658821,3.073276
257,3.051384,2.657387,3.073276
258,3.051089,2.655953,3.071842
259,3.050684,2.655953,3.071842
260,3.050324,2.654519,3.071842
261,3.050138,2.653085,3.070408
262,3.049890,2.653085,3.071842
263,3.049318,2.651651,3.070408
264,3.049180,2.647349,3.071842
265,3.049273,2.650217,3.070408
266,3.048525,2.648783,3.070408
267,3.048474,2.645915,3.071842
268,3.048344,2.647349,3.068974
269,3.047870,2.645915,3.070408
270,3.047598,2.647349,3.073276
271,3.047263,2.644480,3.067540
272,3.047147,2.645915,3.067540
273,3.047126,2.645915,3.068974
274,3.046664,2.644480,3.067540
275,3.046221,2.645915,3.067540
276,3.045733,2.644480,3.067540
277,3.045716,2.644480,3.070408
278,3.045168,2.645915,3.066106
279,3.045120,2.645915,3.066106
280,3.045177,2.644480,3.067540
281,3.044577,2.641612,3.070408
282,3.044521,2.644480,3.067540
283,3.044381,2.643046,3.066106
284,3.043952,2.644480,3.064672
285,3.043966,2.644480,3.064672
286,3.043801,2.643046,3.066106
287,3.043473,2.643046,3.066106
288,3.043349,2.638744,3.064672
289,3.042921,2.643046,3.064672
290,3.042814,2.643046,3.064672
291,3.042732,2.644480,3.068974
292,3.042658,2.643046,3.064672
293,3.042250,2.644480,3.063238
294,3.041678,2.643046,3.063238
295,3.041297,2.643046,3.063238
296,3.040918,2.644480,3.063238
297,3.041123,2.643046,3.061803
298,3.041529,2.647349,3.063238
299,3.041026,2.647349,3.063238
300,3.040728,2.647349,3.063238
301,3.040563,2.648783,3.061803
302,3.040177,2.650217,3.063238
303,3.039822,2.648783,3.060369
304,3.039824,2.647349,3.063238
305,3.039325,2.650217,3.064672
306,3.039147,2.650217,3.060369
307,3.039005,2.647349,3.061803
308,3.038947,2.648783,3.060369
309,3.038561,2.648783,3.060369
310,3.038635,2.648783,3.060369
311,3.038092,2.648783,3.060369
312,3.037836,2.648783,3.061803
313,3.037682,2.647349,3.058935
314,3.037408,2.647349,3.058935
315,3.037159,2.648783,3.057501
316,3.037119,2.648783,3.058935
317,3.036937,2.651651,3.057501
318,3.036633,2.648783,3.057501
319,3.036504,2.648783,3.057501
320,3.036096,2.648783,3.057501
321,3.035653,2.648783,3.056067
322,3.035626,2.648783,3.060369
323,3.035757,2.648783,3.057501
324,3.035522,2.647349,3.056067
325,3.034782,2.647349,3.056067
326,3.034695,2.645915,3.057501
327,3.034329,2.648783,3.057501
328,3.034250,2.644480,3.058935
329,3.034200,2.648783,3.054633
330,3.034057,2.648783,3.054633
331,3.033726,2.648783,3.053199
332,3.033216,2.645915,3.053199
333,3.032807,2.647349,3.054633
334,3.032920,2.644480,3.054633
335,3.032542,2.647349,3.054633
336,3.032364,2.647349,3.053199
337,3.031961,2.647349,3.053199
338,3.031855,2.647349,3.054633
339,3.031991,2.648783,3.054633
340,3.031830,2.647349,3.057501
341,3.031573,2.643046,3.053199
342,3.031209,2.647349,3.053199
343,3.030898,2.644480,3.053199
344,3.030770,2.644480,3.053199
345,3.030838,2.645915,3.051765
346,3.030650,2.645915,3.050331
347,3.030568,2.647349,3.053199
348,3.030195,2.644480,3.050331
349,3.029924,2.645915,3.051765
350,3.029493,2.644480,3.048897
351,3.029240,2.644480,3.051765
352,3.029185,2.643046,3.050331
353,3.028808,2.643046,3.048897
354,3.028641,2.643046,3.048897
355,3.028481,2.641612,3.048897
356,3.028398,2.641612,3.048897
357,3.028191,2.644480,3.048897
358,3.028218,2.641612,3.048897
359,3.028157,2.645915,3.048897
360,3.028037,2.643046,3.050331
361,3.028095,2.644480,3.050331
362,3.027673,2.643046,3.050331
363,3.027193,2.643046,3.048897
364,3.027137,2.643046,3.047462
365,3.026809,2.638744,3.047462
366,3.026723,2.644480,3.047462
367,3.026277,2.643046,3.050331
368,3.026198,2.643046,3.046028
369,3.026055,2.640178,3.046028
370,3.026020,2.643046,3.047462
371,3.025898,2.643046,3.046028
372,3.025607,2.643046,3.047462
373,3.025383,2.641612,3.046028
374,3.024713,2.640178,3.046028
375,3.024674,2.640178,3.046028
376,3.024741,2.640178,3.044594
377,3.024555,2.640178,3.044594
378,3.024461,2.640178,3.044594
379,3.024132,2.640178,3.043160
380,3.023879,2.640178,3.044594
381,3.023959,2.641612,3.047462
382,3.023357,2.641612,3.043160
383,3.023298,2.640178,3.043160
384,3.023122,2.640178,3.044594
385,3.023204,2.641612,3.044594
386,3.022544,2.638744,3.044594
387,3.022187,2.638744,3.044594
388,3.022191,2.640178,3.044594
389,3.021865,2.638744,3.043160
390,3.021642,2.638744,3.041726
391,3.021324,2.637310,3.041726
392,3.021183,2.638744,3.043160
393,3.021080,2.635876,3.041726
394,3.020969,2.637310,3.041726
395,3.021272,2.637310,3.041726
396,3.021100,2.637310,3.041726
397,3.020911,2.635876,3.046028
398,3.020745,2.638744,3.043160
399,3.020236,2.637310,3.043160
400,3.020033,2.637310,3.041726
401,3.019555,2.635876,3.040292
402,3.019424,2.638744,3.040292
403,3.019588,2.637310,3.041726
404,3.019588,2.638744,3.041726
405,3.019253,2.634442,3.044594
406,3.018895,2.635876,3.043160
407,3.018567,2.635876,3.040292
408,3.018538,2.637310,3.040292
409,3.018397,2.637310,3.040292
410,3.017689,2.635876,3.038858
411,3.017641,2.635876,3.038858
412,3.018008,2.637310,3.040292
413,3.017618,2.633008,3.037424
414,3.017294,2.637310,3.038858
415,3.017007,2.634442,3.037424
416,3.016538,2.634442,3.037424
417,3.016727,2.634442,3.037424
418,3.016654,2.633008,3.037424
419,3.016766,2.635876,3.037424
420,3.016629,2.634442,3.041726
421,3.016049,2.634442,3.037424
422,3.015845,2.634442,3.037424
423,3.015845,2.634442,3.040292
424,3.015573,2.634442,3.037424
425,3.015541,2.634442,3.035990
426,3.015326,2.633008,3.035990
427,3.015175,2.634442,3.037424
428,3.014902,2.631573,3.037424
429,3.014631,2.633008,3.034555
430,3.014627,2.631573,3.037424
431,3.014405,2.634442,3.035990
432,3.013962,2.631573,3.034555
433,3.014079,2.633008,3.034555
434,3.013586,2.631573,3.035990
435,3.013263,2.630139,3.034555
436,3.013282,2.633008,3.034555
437,3.013316,2.631573,3.034555
438,3.013253,2.631573,3.037424
439,3.013194,2.633008,3.033121
440,3.012930,2.630139,3.037424
441,3.012511,2.631573,3.034555
442,3.012484,2.631573,3.033121
443,3.011778,2.631573,3.031687
444,3.011676,2.630139,3.031687
445,3.011528,2.628705,3.033121
446,3.011167,2.631573,3.035990
447,3.011024,2.630139,3.033121
448,3.011165,2.631573,3.031687
449,3.011251,2.628705,3.031687
450,3.011077,2.628705,3.031687
451,3.010916,2.628705,3.031687
452,3.010729,2.630139,3.031687
453,3.010423,2.628705,3.030253
454,3.010298,2.628705,3.031687
455,3.010053,2.630139,3.031687
456,3.009895,2.628705,3.030253
457,3.009995,2.630139,3.030253
458,3.009855,2.628705,3.031687
459,3.009695,2.625837,3.030253
460,3.009832,2.628705,3.031687
461,3.009076,2.630139,3.030253
462,3.008762,2.628705,3.028819
463,3.008619,2.628705,3.028819
464,3.008468,2.624403,3.030253
465,3.008221,2.624403,3.030253
466,3.008092,2.627271,3.030253
467,3.008126,2.627271,3.028819
468,3.008099,2.627271,3.028819
469,3.008285,2.628705,3.028819
470,3.007988,2.627271,3.028819
471,3.007457,2.628705,3.030253
472,3.007409,2.628705,3.028819
473,3.007131,2.627271,3.027385
474,3.006710,2.625837,3.027385
475,3.006818,2.621535,3.028819
476,3.006632,2.624403,3.027385
477,3.006461,2.627271,3.031687
478,3.006360,2.624403,3.025951
479,3.006385,2.625837,3.028819
480,3.006233,2.624403,3.028819
481,3.006143,2.624403,3.027385
482,3.005856,2.624403,3.027385
483,3.005878,2.627271,3.025951
484,3.005561,2.625837,3.027385
485,3.005260,2.624403,3.025951
486,3.005464,2.625837,3.025951
487,3.005125,2.627271,3.025951
488,3.004912,2.625837,3.024517
489,3.004965,2.621535,3.025951
490,3.004758,2.625837,3.024517
491,3.004555,2.625837,3.023083
492,3.004309,2.624403,3.024517
493,3.004415,2.622969,3.025951
494,3.003804,2.622969,3.024517
495,3.003791,2.624403,3.023083
496,3.004086,2.624403,3.024517
497,3.003827,2.622969,3.023083
498,3.003833,2.622969,3.025951
499,3.003892,2.621535,3.024517
500,3.003297,2.621535,3.024517
501,3.003334,2.621535,3.023083
502,3.003557,2.622969,3.024517
503,3.003282,2.624403,3.023083
504,3.002907,2.622969,3.024517
505,3.002577,2.621535,3.023083
506,3.002321,2.621535,3.021649
507,3.002254,2.621535,3.020215
508,3.002727,2.622969,3.023083
509,3.002611,2.620101,3.023083
510,3.002065,2.622969,3.024517
511,3.002213,2.621535,3.021649
512,3.002069,2.621535,3.021649
513,3.001794,2.620101,3.023083
514,3.001658,2.621535,3.023083
515,3.001619,2.618667,3.021649
516,3.001726,2.620101,3.021649
517,3.001582,2.621535,3.021649
518,3.001743,2.620101,3.021649
519,3.001506,2.618667,3.023083
520,3.000937,2.621535,3.021649
521,3.001062,2.618667,3.021649
522,3.001266,2.620101,3.024517
523,3.000616,2.620101,3.021649
524,3.000479,2.618667,3.020215
525,3.000580,2.621535,3.021649
526,3.000191,2.617233,3.020215
527,3.000170,2.620101,3.018780
528,3.000232,2.618667,3.018780
529,2.999830,2.618667,3.020215
