EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/08 00:05:02,,,
,,,
"V1: 0.500000, 1.250000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
274,2.522554,0.702709,2.673162
275,2.522275,0.699841,2.674597
276,2.524239,0.701275,2.671728
277,2.522509,0.702709,2.671728
278,2.521581,0.696973,2.671728
279,2.52408,0.701275,2.673162
280,2.523062,0.701275,2.671728
281,2.5217,0.698407,2.673162
282,2.524009,0.698407,2.671728
283,2.522981,0.701275,2.673162
284,2.521303,0.701275,2.673162
285,2.524227,0.701275,2.673162
286,2.523296,0.702709,2.671728
287,2.521275,0.702709,2.674597
288,2.524181,0.701275,2.670294
289,2.5236,0.702709,2.673162
290,2.520908,0.699841,2.671728
291,2.524206,0.698407,2.671728
292,2.523815,0.701275,2.674597
293,2.520545,0.701275,2.670294
294,2.524225,0.696973,2.674597
295,2.524235,0.698407,2.673162
296,2.520495,0.701275,2.670294
297,2.524033,0.702709,2.671728
298,2.524063,0.699841,2.671728
299,2.520072,0.698407,2.671728
300,2.524076,0.702709,2.671728
301,2.523981,0.698407,2.670294
302,2.519665,0.695538,2.671728
303,2.524082,0.696973,2.673162
304,2.524036,0.699841,2.674597
305,2.520244,0.701275,2.671728
306,2.523873,0.698407,2.671728
307,2.523747,0.699841,2.671728
308,2.52007,0.701275,2.670294
309,2.524208,0.694104,2.673162
310,2.52483,0.701275,2.671728
311,2.520763,0.699841,2.671728
312,2.524387,0.696973,2.674597
313,2.524177,0.701275,2.671728
314,2.520023,0.702709,2.66886
315,2.523684,0.699841,2.673162
316,2.523929,0.701275,2.671728
317,2.520065,0.701275,2.671728
318,2.524173,0.701275,2.673162
319,2.524086,0.699841,2.671728
320,2.520227,0.699841,2.671728
321,2.524071,0.695538,2.676031
322,2.523844,0.698407,2.671728
323,2.520149,0.698407,2.671728
324,2.524174,0.698407,2.673162
325,2.524144,0.701275,2.673162
326,2.520321,0.698407,2.671728
327,2.523993,0.701275,2.673162
328,2.523801,0.698407,2.671728
329,2.520067,0.698407,2.671728
330,2.523991,0.698407,2.673162
331,2.524283,0.702709,2.673162
332,2.520464,0.699841,2.671728
333,2.52413,0.699841,2.671728
334,2.524242,0.698407,2.673162
335,2.520569,0.698407,2.671728
336,2.524266,0.699841,2.671728
337,2.52435,0.701275,2.673162
338,2.520169,0.701275,2.671728
339,2.52457,0.699841,2.671728
340,2.524576,0.701275,2.673162
341,2.520907,0.701275,2.671728
342,2.524909,0.701275,2.673162
343,2.525005,0.698407,2.673162
344,2.521172,0.696973,2.677465
345,2.524746,0.696973,2.671728
346,2.524933,0.699841,2.673162
347,2.520893,0.698407,2.674597
348,2.52471,0.699841,2.671728
349,2.524636,0.701275,2.673162
350,2.520818,0.701275,2.671728
351,2.524673,0.698407,2.671728
352,2.524767,0.704143,2.673162
353,2.520891,0.699841,2.671728
354,2.524742,0.701275,2.671728
355,2.524739,0.699841,2.673162
356,2.520953,0.701275,2.673162
357,2.524472,0.701275,2.674597
358,2.524169,0.701275,2.671728
359,2.520798,0.701275,2.671728
360,2.52472,0.699841,2.673162
361,2.524422,0.696973,2.671728
362,2.520587,0.699841,2.673162
363,2.524398,0.699841,2.671728
364,2.524476,0.701275,2.671728
365,2.520693,0.701275,2.673162
366,2.524466,0.695538,2.671728
367,2.52474,0.701275,2.673162
368,2.520524,0.699841,2.673162
369,2.524621,0.699841,2.674597
370,2.524615,0.698407,2.673162
371,2.520802,0.698407,2.671728
372,2.524544,0.702709,2.671728
373,2.524604,0.701275,2.671728
374,2.520654,0.696973,2.671728
375,2.524498,0.701275,2.673162
376,2.524545,0.699841,2.673162
377,2.520571,0.701275,2.673162
378,2.524586,0.699841,2.674597
379,2.524722,0.698407,2.671728
380,2.520958,0.701275,2.671728
381,2.525629,0.701275,2.677465
382,2.525221,0.698407,2.673162
383,2.521128,0.701275,2.671728
384,2.525273,0.702709,2.673162
385,2.525106,0.702709,2.673162
386,2.521244,0.701275,2.671728
387,2.525104,0.698407,2.673162
388,2.524831,0.696973,2.674597
389,2.52129,0.701275,2.673162
390,2.525064,0.698407,2.673162
391,2.52493,0.701275,2.671728
392,2.521277,0.702709,2.673162
393,2.524869,0.698407,2.673162
394,2.524758,0.698407,2.671728
395,2.521028,0.701275,2.673162
396,2.524452,0.698407,2.671728
397,2.524908,0.699841,2.673162
398,2.520841,0.698407,2.673162
399,2.52464,0.701275,2.671728
400,2.52482,0.701275,2.671728
401,2.521137,0.699841,2.673162
402,2.524819,0.701275,2.674597
403,2.524435,0.699841,2.670294
404,2.520508,0.701275,2.671728
405,2.524194,0.699841,2.670294
