EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 5.00000763,,,
Number of sample: 120960/120960,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/15 10:27:09,,,
,,,
"V1: 1.000000, 1.625000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
297,3.056721,2.559869,3.084749
298,3.056494,2.558434,3.084749
299,3.056015,2.558434,3.081881
300,3.055688,2.559869,3.080447
301,3.055346,2.561303,3.081881
302,3.055079,2.559869,3.081881
303,3.054983,2.559869,3.081881
304,3.054617,2.561303,3.081881
305,3.054318,2.558434,3.080447
306,3.053998,2.558434,3.080447
307,3.053909,2.558434,3.080447
308,3.053475,2.561303,3.080447
309,3.053444,2.558434,3.080447
310,3.053374,2.559869,3.080447
311,3.0526,2.559869,3.079013
312,3.052582,2.559869,3.080447
313,3.052224,2.559869,3.079013
314,3.052158,2.557,3.080447
315,3.052004,2.557,3.077579
316,3.05161,2.559869,3.079013
317,3.051328,2.558434,3.077579
318,3.051084,2.557,3.077579
319,3.050825,2.561303,3.077579
320,3.05028,2.558434,3.076144
321,3.050201,2.558434,3.076144
322,3.049916,2.557,3.076144
323,3.049666,2.557,3.07471
324,3.049427,2.558434,3.076144
325,3.049481,2.557,3.07471
326,3.049008,2.554132,3.076144
327,3.048814,2.558434,3.07471
328,3.048356,2.557,3.073276
329,3.048158,2.557,3.07471
330,3.047704,2.557,3.073276
331,3.047485,2.557,3.073276
332,3.047314,2.557,3.073276
333,3.047042,2.557,3.071842
334,3.046636,2.557,3.073276
335,3.046503,2.555566,3.07471
336,3.046404,2.552698,3.071842
337,3.0462,2.554132,3.071842
338,3.04586,2.552698,3.07471
339,3.045621,2.555566,3.071842
340,3.045227,2.554132,3.071842
341,3.044933,2.557,3.071842
342,3.044841,2.554132,3.070408
343,3.044523,2.554132,3.071842
344,3.044275,2.552698,3.070408
345,3.044024,2.555566,3.070408
346,3.043877,2.554132,3.068974
347,3.043478,2.555566,3.068974
348,3.043147,2.554132,3.070408
349,3.042909,2.551264,3.06754
350,3.042955,2.552698,3.071842
351,3.042551,2.554132,3.06754
352,3.042485,2.552698,3.068974
353,3.042206,2.552698,3.06754
354,3.041926,2.554132,3.068974
355,3.041439,2.552698,3.06754
356,3.04128,2.554132,3.06754
357,3.040915,2.551264,3.068974
358,3.040456,2.551264,3.066106
359,3.040447,2.554132,3.066106
360,3.040129,2.551264,3.066106
361,3.039993,2.552698,3.06754
362,3.039754,2.551264,3.066106
363,3.039507,2.551264,3.066106
364,3.039177,2.552698,3.066106
365,3.039217,2.552698,3.06754
366,3.03905,2.551264,3.064672
367,3.038911,2.551264,3.066106
368,3.038898,2.552698,3.064672
369,3.038572,2.552698,3.064672
370,3.038303,2.551264,3.064672
371,3.037826,2.548396,3.06754
372,3.037726,2.54983,3.064672
373,3.037462,2.551264,3.064672
374,3.037351,2.54983,3.063238
375,3.036992,2.54983,3.063238
376,3.036965,2.551264,3.064672
377,3.036737,2.552698,3.063238
378,3.036675,2.548396,3.063238
379,3.036263,2.551264,3.061803
380,3.036235,2.54983,3.066106
381,3.035865,2.54983,3.061803
382,3.035451,2.545527,3.061803
383,3.035253,2.551264,3.061803
384,3.035006,2.54983,3.061803
385,3.034771,2.551264,3.060369
386,3.034707,2.548396,3.060369
387,3.034615,2.551264,3.060369
388,3.034276,2.54983,3.060369
389,3.033841,2.548396,3.058935
390,3.033699,2.54983,3.058935
391,3.033437,2.54983,3.060369
392,3.033,2.548396,3.058935
393,3.033146,2.54983,3.058935
394,3.032784,2.548396,3.060369
395,3.032506,2.545527,3.058935
396,3.032315,2.551264,3.060369
397,3.032017,2.546962,3.057501
398,3.031824,2.548396,3.057501
399,3.03171,2.54983,3.057501
400,3.031463,2.545527,3.058935
401,3.031054,2.546962,3.057501
402,3.03099,2.548396,3.057501
403,3.030735,2.548396,3.057501
404,3.030483,2.546962,3.057501
405,3.030407,2.548396,3.056067
406,3.030329,2.548396,3.057501
407,3.030167,2.546962,3.056067
408,3.029875,2.548396,3.057501
409,3.029614,2.545527,3.054633
410,3.029177,2.546962,3.054633
411,3.02919,2.548396,3.054633
412,3.029181,2.544093,3.054633
413,3.028633,2.544093,3.056067
414,3.028693,2.546962,3.054633
415,3.028707,2.545527,3.054633
416,3.028276,2.546962,3.053199
417,3.027901,2.546962,3.053199
418,3.027509,2.546962,3.053199
419,3.027397,2.545527,3.054633
420,3.02725,2.545527,3.053199
421,3.02711,2.545527,3.051765
422,3.026953,2.544093,3.053199
423,3.02663,2.544093,3.053199
424,3.026199,2.544093,3.051765
425,3.026245,2.545527,3.053199
426,3.025901,2.544093,3.051765
427,3.025654,2.542659,3.051765
428,3.025541,2.542659,3.050331
429,3.025203,2.544093,3.051765
430,3.024915,2.542659,3.051765
431,3.024666,2.544093,3.050331
432,3.02429,2.544093,3.050331
433,3.024216,2.542659,3.051765
434,3.024103,2.544093,3.050331
435,3.023889,2.542659,3.050331
436,3.023907,2.544093,3.048897
437,3.023468,2.541225,3.048897
438,3.023465,2.542659,3.048897
439,3.023367,2.542659,3.053199
440,3.023056,2.544093,3.048897
441,3.022729,2.542659,3.048897
442,3.022414,2.544093,3.048897
443,3.022132,2.542659,3.047462
444,3.022053,2.539791,3.048897
445,3.021932,2.541225,3.048897
446,3.021803,2.539791,3.047462
447,3.02148,2.539791,3.047462
448,3.02133,2.544093,3.047462
449,3.021509,2.541225,3.050331
450,3.021253,2.541225,3.047462
451,3.020976,2.541225,3.046028
452,3.020739,2.541225,3.046028
453,3.020333,2.541225,3.046028
454,3.019826,2.539791,3.044594
455,3.019964,2.542659,3.047462
456,3.019834,2.538357,3.046028
457,3.019662,2.542659,3.044594
458,3.019389,2.539791,3.046028
459,3.019176,2.541225,3.044594
460,3.018852,2.541225,3.044594
461,3.018791,2.538357,3.044594
462,3.01871,2.536923,3.044594
463,3.018487,2.539791,3.044594
464,3.01818,2.539791,3.04316
465,3.018028,2.539791,3.04316
466,3.017778,2.538357,3.046028
467,3.017594,2.538357,3.04316
468,3.01749,2.539791,3.04316
469,3.017418,2.538357,3.04316
470,3.01728,2.539791,3.044594
