EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/01 01:58:57,,,
,,,
"V1: 0.500000, 1.440000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
307,2.909433,2.809402,2.928432
308,2.90928,2.807968,2.928432
309,2.909153,2.805099,2.926998
310,2.909158,2.807968,2.928432
311,2.909475,2.802231,2.928432
312,2.909567,2.807968,2.926998
313,2.909446,2.809402,2.929866
314,2.909375,2.806534,2.926998
315,2.909304,2.807968,2.925564
316,2.909506,2.809402,2.928432
317,2.909199,2.809402,2.926998
318,2.909221,2.806534,2.928432
319,2.908856,2.806534,2.926998
320,2.909186,2.809402,2.928432
321,2.909335,2.809402,2.925564
322,2.909121,2.809402,2.926998
323,2.908934,2.806534,2.926998
324,2.909416,2.810836,2.926998
325,2.90948,2.807968,2.928432
326,2.909648,2.810836,2.926998
327,2.909173,2.809402,2.926998
328,2.909341,2.809402,2.926998
329,2.909192,2.807968,2.926998
330,2.909167,2.807968,2.926998
331,2.909352,2.809402,2.926998
332,2.909412,2.806534,2.926998
333,2.9094,2.810836,2.928432
334,2.909531,2.810836,2.925564
335,2.90974,2.810836,2.926998
336,2.909596,2.809402,2.928432
337,2.909585,2.809402,2.925564
338,2.909725,2.809402,2.928432
339,2.909492,2.810836,2.926998
340,2.909657,2.809402,2.928432
341,2.909444,2.809402,2.928432
342,2.909389,2.810836,2.926998
343,2.909485,2.809402,2.926998
344,2.909582,2.805099,2.928432
345,2.909655,2.809402,2.926998
346,2.909523,2.809402,2.929866
347,2.909555,2.807968,2.926998
348,2.90946,2.809402,2.928432
349,2.909409,2.809402,2.926998
350,2.909485,2.809402,2.928432
351,2.909584,2.810836,2.926998
