EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 172800/172800,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/06 09:23:31,,,
,,,
"V1: 0.500000, 1.406250",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
228,2.708495,2.455179,2.883975
229,2.708106,2.452311,2.882541
230,2.707644,2.450877,2.885409
231,2.707266,2.452311,2.882541
232,2.706929,2.452311,2.881107
233,2.706564,2.450877,2.881107
234,2.706235,2.450877,2.879673
235,2.705451,2.450877,2.881107
236,2.705302,2.450877,2.881107
237,2.705067,2.450877,2.879673
238,2.704684,2.450877,2.878239
239,2.704333,2.450877,2.878239
240,2.704184,2.450877,2.878239
241,2.703586,2.448009,2.878239
242,2.70374,2.450877,2.876805
243,2.703381,2.449443,2.876805
244,2.703134,2.450877,2.876805
245,2.703001,2.449443,2.875371
246,2.703117,2.449443,2.876805
247,2.702559,2.448009,2.876805
248,2.701968,2.44514,2.875371
249,2.701502,2.449443,2.876805
250,2.700953,2.449443,2.872502
251,2.700733,2.448009,2.873936
252,2.700569,2.448009,2.872502
253,2.700106,2.448009,2.876805
254,2.699591,2.448009,2.872502
255,2.699179,2.448009,2.873936
256,2.699224,2.446574,2.871068
257,2.69893,2.446574,2.871068
258,2.698622,2.44514,2.871068
259,2.698062,2.448009,2.869634
260,2.697769,2.448009,2.8682
261,2.697756,2.44514,2.872502
262,2.697448,2.44514,2.869634
263,2.696999,2.446574,2.869634
264,2.696604,2.448009,2.8682
265,2.696388,2.446574,2.869634
266,2.697367,2.448009,2.866766
267,2.698031,2.453745,2.869634
268,2.698153,2.452311,2.866766
269,2.697977,2.453745,2.865332
270,2.698099,2.453745,2.865332
271,2.69734,2.450877,2.866766
272,2.697258,2.452311,2.8682
273,2.697025,2.450877,2.863898
274,2.696493,2.450877,2.863898
275,2.696326,2.452311,2.865332
276,2.69582,2.450877,2.863898
277,2.69562,2.449443,2.863898
278,2.695128,2.450877,2.863898
279,2.694625,2.450877,2.862463
280,2.6944,2.450877,2.861029
281,2.694364,2.449443,2.862463
282,2.693939,2.449443,2.861029
283,2.693624,2.449443,2.861029
284,2.69298,2.449443,2.861029
285,2.692328,2.449443,2.858161
286,2.692445,2.448009,2.859595
287,2.69218,2.448009,2.861029
288,2.692099,2.449443,2.858161
289,2.691466,2.446574,2.856727
