EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 120960/120960"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/03/15 10:33:13"

"V1: 1.000000, 1.600000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1","Volt min 1","Volt max 1"
309,3.079344,2.409288,3.106261
310,3.078895,2.406420,3.104826
311,3.078602,2.409288,3.103392
312,3.078773,2.406420,3.103392
313,3.078143,2.407854,3.103392
314,3.077984,2.406420,3.103392
315,3.077783,2.406420,3.103392
316,3.076993,2.406420,3.104826
317,3.076675,2.404986,3.101958
318,3.076477,2.404986,3.100524
319,3.076395,2.403552,3.101958
320,3.076247,2.402117,3.103392
321,3.075821,2.402117,3.101958
322,3.075649,2.403552,3.101958
323,3.075626,2.403552,3.104826
324,3.075209,2.404986,3.100524
325,3.074873,2.404986,3.100524
326,3.074467,2.404986,3.099090
327,3.074342,2.404986,3.100524
328,3.074124,2.402117,3.103392
329,3.073700,2.402117,3.099090
330,3.073738,2.403552,3.099090
331,3.073419,2.402117,3.099090
332,3.073358,2.399249,3.099090
333,3.073243,2.403552,3.097656
334,3.072532,2.400683,3.097656
335,3.072340,2.402117,3.097656
336,3.072230,2.402117,3.096222
337,3.071889,2.399249,3.096222
338,3.071476,2.400683,3.096222
339,3.071338,2.402117,3.096222
340,3.070837,2.400683,3.094788
341,3.070671,2.399249,3.097656
342,3.070457,2.399249,3.094788
343,3.070268,2.400683,3.097656
344,3.070307,2.399249,3.096222
345,3.070020,2.399249,3.093354
346,3.069534,2.396381,3.096222
347,3.069437,2.394947,3.094788
348,3.069292,2.399249,3.094788
349,3.069039,2.399249,3.094788
350,3.068649,2.397815,3.093354
351,3.068715,2.394947,3.093354
352,3.068489,2.397815,3.093354
353,3.068562,2.394947,3.096222
354,3.068280,2.397815,3.093354
355,3.067802,2.394947,3.094788
356,3.067389,2.396381,3.091920
357,3.067012,2.394947,3.091920
358,3.066675,2.397815,3.091920
359,3.066739,2.394947,3.093354
360,3.066575,2.396381,3.091920
