EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 5.00000763,,,
Number of sample: 120960/120960,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/15 10:07:30,,,
,,,
"V1: 1.000000, 1.600000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
262,3.043378,2.744867,3.066106
263,3.043105,2.744867,3.064672
264,3.042608,2.743433,3.064672
265,3.042345,2.743433,3.063238
266,3.042195,2.743433,3.066106
267,3.041976,2.744867,3.064672
268,3.041742,2.743433,3.063238
269,3.041575,2.743433,3.063238
270,3.041319,2.743433,3.063238
271,3.040785,2.741999,3.061803
272,3.040515,2.741999,3.061803
273,3.040175,2.743433,3.061803
274,3.039868,2.741999,3.060369
275,3.03959,2.740565,3.060369
276,3.039414,2.740565,3.064672
277,3.0393,2.740565,3.061803
278,3.038459,2.740565,3.060369
279,3.038202,2.739131,3.060369
280,3.038255,2.741999,3.060369
281,3.03781,2.740565,3.058935
282,3.037519,2.739131,3.058935
283,3.037556,2.739131,3.061803
284,3.037027,2.739131,3.058935
285,3.036951,2.739131,3.058935
286,3.036656,2.739131,3.056067
287,3.036244,2.737697,3.057501
288,3.035873,2.739131,3.057501
289,3.035861,2.737697,3.058935
290,3.035658,2.737697,3.057501
291,3.035629,2.739131,3.056067
292,3.035259,2.736263,3.056067
293,3.034861,2.737697,3.057501
294,3.034621,2.739131,3.056067
295,3.034399,2.737697,3.054633
296,3.034093,2.734829,3.056067
297,3.033738,2.734829,3.056067
298,3.0335,2.736263,3.054633
299,3.033322,2.739131,3.054633
300,3.03296,2.734829,3.056067
301,3.033351,2.734829,3.054633
302,3.032922,2.736263,3.054633
303,3.032405,2.734829,3.054633
304,3.032508,2.736263,3.054633
305,3.032259,2.734829,3.054633
306,3.032068,2.733395,3.053199
307,3.03173,2.736263,3.054633
308,3.031217,2.734829,3.053199
309,3.031269,2.733395,3.056067
310,3.030891,2.734829,3.051765
311,3.030566,2.731961,3.056067
312,3.030331,2.734829,3.053199
313,3.030323,2.733395,3.050331
314,3.029932,2.733395,3.050331
315,3.029695,2.733395,3.053199
316,3.028995,2.734829,3.050331
317,3.029106,2.733395,3.051765
318,3.029034,2.731961,3.051765
319,3.028524,2.733395,3.050331
320,3.028081,2.731961,3.050331
321,3.027756,2.733395,3.048897
322,3.027478,2.730526,3.048897
323,3.027289,2.731961,3.053199
324,3.027231,2.729092,3.050331
325,3.027333,2.731961,3.048897
326,3.027067,2.730526,3.048897
327,3.026862,2.733395,3.047462
328,3.026552,2.731961,3.048897
329,3.026097,2.730526,3.047462
330,3.025748,2.731961,3.047462
331,3.025331,2.729092,3.046028
332,3.02528,2.729092,3.047462
333,3.025022,2.729092,3.048897
334,3.024317,2.727658,3.047462
335,3.024311,2.729092,3.047462
336,3.024051,2.730526,3.046028
337,3.024153,2.727658,3.047462
338,3.023988,2.727658,3.047462
339,3.023762,2.726224,3.044594
340,3.023074,2.729092,3.044594
341,3.022911,2.729092,3.044594
342,3.02254,2.72479,3.04316
343,3.022238,2.727658,3.044594
344,3.022295,2.727658,3.04316
345,3.022461,2.727658,3.044594
