EL34143A exported datalog,
File type: CSV,
File version: 1,
,
Per division: 5.000000,
Offset: -3.111111,
Trigger position: 0,
Sample interval: 0.49999872,
Number of sample: 172800/172800,
Trigger sample: 0,
Number of pre-trigger sample: 0,
Date: 2025/03/03 03:23:09,
,
"V1: 0.500000, 1.340000",
"I1: 1.000000, 0.000000",
"P1: 5.000000, 0.000000",
,
Power Enabled:,None
,
Enable:,Volt avg 1
571,2.902885
572,2.902838
573,2.902606
574,2.902455
575,2.90259
576,2.902414
577,2.902127
578,2.901746
579,2.901662
580,2.901738
581,2.90176
582,2.901535
583,2.901353
584,2.901197
585,2.900817
586,2.900819
587,2.900697
588,2.900852
589,2.900799
590,2.90078
591,2.900894
592,2.900675
593,2.900389
594,2.900444
595,2.900441
596,2.900024
597,2.900158
598,2.899885
599,2.899499
600,2.899405
601,2.899299
602,2.899125
603,2.898797
604,2.898801
605,2.898788
606,2.899135
607,2.898597
608,2.89861
609,2.898541
610,2.898447
611,2.898498
612,2.898277
613,2.898003
614,2.898079
615,2.89798
616,2.897997
617,2.897744
618,2.897381
619,2.897458
620,2.897446
621,2.897632
622,2.897344
623,2.897582
624,2.897246
625,2.896956
626,2.896752
627,2.896686
628,2.896827
629,2.896715
630,2.896702
631,2.896643
632,2.896733
633,2.896443
634,2.896332
635,2.896399
636,2.896141
637,2.896107
638,2.895989
639,2.895943
640,2.89548
641,2.895162
642,2.895159
643,2.894995
644,2.89477
645,2.894695
646,2.894658
647,2.894799
648,2.894793
649,2.894397
650,2.894255
651,2.894094
652,2.893992
653,2.893994
654,2.894149
655,2.893974
656,2.893697
657,2.893507
658,2.893567
659,2.893439
660,2.89343
661,2.893202
662,2.893029
663,2.893059
664,2.893116
665,2.892979
666,2.892838
667,2.892757
668,2.892407
669,2.892489
670,2.89259
671,2.892618
672,2.892617
673,2.892552
674,2.892131
675,2.891864
676,2.892087
677,2.891989
678,2.891839
679,2.891801
680,2.892042
681,2.891894
682,2.891528
683,2.89133
684,2.891406
685,2.891051
686,2.891019
687,2.891182
688,2.891008
689,2.891038
690,2.891026
691,2.890779
692,2.890804
693,2.890784
694,2.890768
695,2.890624
696,2.890554
697,2.890488
698,2.89024
699,2.890154
700,2.889971
701,2.889726
702,2.889454
703,2.889679
704,2.889462
705,2.889399
706,2.88906
707,2.88932
708,2.889199
709,2.88884
710,2.888529
711,2.888819
712,2.888824
713,2.888483
714,2.888457
715,2.888201
716,2.888393
717,2.888496
718,2.88839
719,2.888339
720,2.888433
721,2.888362
722,2.888546
723,2.888151
724,2.887709
725,2.887655
726,2.887832
727,2.887882
728,2.887343
729,2.886878
730,2.887191
731,2.886901
732,2.886498
733,2.886676
734,2.886335
735,2.88619
736,2.886251
737,2.886075
738,2.886039
739,2.885991
740,2.886196
741,2.886169
742,2.886069
743,2.885857
744,2.885546
745,2.885504
746,2.885435
747,2.885232
748,2.885069
749,2.885266
750,2.885439
751,2.88536
752,2.885288
753,2.885139
754,2.885195
755,2.885022
756,2.884943
757,2.884863
758,2.884821
759,2.884904
760,2.884509
761,2.884145
762,2.884327
763,2.884388
764,2.883808
765,2.883638
766,2.883587
767,2.883283
768,2.883136
769,2.883422
770,2.883499
771,2.883326
772,2.883046
773,2.883238
774,2.883222
775,2.8833
776,2.882705
777,2.882761
778,2.88252
779,2.882643
780,2.882643
781,2.88267
782,2.882298
783,2.882249
784,2.882118
785,2.881708
786,2.881804
787,2.881864
788,2.881458
789,2.881335
790,2.881176
791,2.881058
792,2.881042
793,2.881133
794,2.880972
795,2.880991
796,2.880783
797,2.880804
798,2.880483
799,2.880599
800,2.880422
801,2.880316
802,2.880384
803,2.880377
804,2.88
805,2.879938
806,2.879705
807,2.880008
808,2.880088
809,2.87957
810,2.879798
811,2.879798
812,2.879999
813,2.8795
814,2.879694
815,2.879405
816,2.879443
817,2.879521
818,2.879057
819,2.879217
820,2.879263
821,2.879185
822,2.879194
823,2.878679
824,2.878818
825,2.878624
826,2.878507
827,2.878289
828,2.878146
829,2.877917
830,2.877702
831,2.877659
832,2.878218
833,2.878124
834,2.877638
835,2.877733
836,2.877439
837,2.877425
838,2.877318
839,2.876985
840,2.876933
841,2.877081
842,2.876961
843,2.876855
844,2.87664
845,2.87656
846,2.876906
847,2.876664
848,2.876353
849,2.876315
850,2.876385
851,2.876246
852,2.876069
853,2.875823
854,2.875825
855,2.875656
856,2.875851
857,2.875725
858,2.87554
859,2.875787
860,2.87569
861,2.875691
862,2.875385
863,2.874944
864,2.874931
865,2.875153
866,2.874955
867,2.874764
868,2.874987
869,2.874715
870,2.87455
871,2.8747
872,2.874201
873,2.874182
874,2.874107
875,2.873899
876,2.873936
877,2.873828
878,2.873771
879,2.873844
880,2.873686
881,2.873945
882,2.8737
883,2.873782
884,2.873358
885,2.873171
886,2.87333
887,2.873446
888,2.873383
889,2.873244
890,2.873178
891,2.872865
892,2.872859
893,2.872518
894,2.872829
895,2.872381
896,2.872078
897,2.87218
898,2.872284
899,2.872169
900,2.871992
901,2.87204
902,2.871968
903,2.871802
904,2.87164
905,2.871329
906,2.871536
907,2.871276
908,2.871157
909,2.871135
910,2.871037
911,2.870798
912,2.870931
913,2.870778
914,2.87089
915,2.87075
916,2.870581
917,2.870865
918,2.870646
919,2.870542
920,2.870566
921,2.870453
922,2.870127
923,2.869942
924,2.870126
925,2.869767
926,2.86973
927,2.869542
928,2.869537
929,2.869419
930,2.869376
931,2.86923
932,2.869064
933,2.869206
934,2.869103
935,2.868974
936,2.869203
937,2.869123
938,2.868752
939,2.868982
940,2.869031
941,2.869047
942,2.868708
943,2.868717
944,2.8688
945,2.868606
946,2.868631
947,2.868334
948,2.868315
949,2.868168
950,2.868151
951,2.868034
952,2.867869
953,2.867692
954,2.867886
955,2.867755
956,2.867635
957,2.867944
958,2.867825
959,2.867398
960,2.866933
961,2.866825
962,2.866916
963,2.867033
964,2.867185
965,2.866903
966,2.866643
967,2.866407
968,2.866457
969,2.866093
970,2.866219
971,2.866383
972,2.866023
973,2.86624
974,2.866137
975,2.866055
976,2.865913
977,2.866044
978,2.865566
979,2.865424
980,2.865819
981,2.865752
982,2.865796
983,2.865515
984,2.865402
985,2.865195
986,2.865248
987,2.865289
988,2.86501
989,2.864886
990,2.864956
991,2.865008
992,2.864841
993,2.864708
994,2.864748
995,2.865151
996,2.864819
997,2.864648
998,2.864798
999,2.86446
1000,2.864377
1001,2.863987
1002,2.864088
1003,2.863744
1004,2.86383
1005,2.863655
1006,2.863869
1007,2.863686
1008,2.863616
1009,2.863424
1010,2.863259
1011,2.863124
1012,2.86312
1013,2.86327
1014,2.863083
1015,2.862927
1016,2.863134
1017,2.862835
1018,2.862545
1019,2.862914
1020,2.863258
1021,2.862813
1022,2.863064
1023,2.862791
1024,2.862516
1025,2.862408
1026,2.862393
1027,2.862243
1028,2.861997
1029,2.861924
1030,2.862015
1031,2.861715
1032,2.861894
1033,2.861742
1034,2.862038
1035,2.861704
1036,2.861378
1037,2.861818
1038,2.86162
1039,2.861333
1040,2.861014
1041,2.860979
1042,2.860893
1043,2.860764
1044,2.860654
1045,2.860813
1046,2.860819
1047,2.860213
1048,2.860274
1049,2.860264
1050,2.860142
1051,2.860151
1052,2.86044
1053,2.860037
1054,2.859854
1055,2.859976
1056,2.860016
1057,2.85992
1058,2.859674
1059,2.859821
1060,2.859638
1061,2.859807
1062,2.859658
1063,2.859532
1064,2.859756
1065,2.859606
1066,2.859582
1067,2.859347
1068,2.859134
1069,2.859435
1070,2.859196
1071,2.858961
1072,2.858808
1073,2.858682
1074,2.85868
1075,2.858372
1076,2.858433
1077,2.858604
1078,2.858362
1079,2.858386
1080,2.858215
1081,2.857893
1082,2.858101
1083,2.858197
1084,2.858002
1085,2.857819
1086,2.857754
1087,2.85797
1088,2.857941
1089,2.858055
1090,2.857816
1091,2.857867
1092,2.857607
1093,2.857623
1094,2.857368
1095,2.857353
1096,2.856976
1097,2.85706
1098,2.856837
1099,2.856773
1100,2.856657
1101,2.856243
1102,2.856336
1103,2.856032
1104,2.856083
1105,2.856251
1106,2.856133
1107,2.856065
1108,2.85618
1109,2.855836
1110,2.856193
1111,2.856271
1112,2.856095
1113,2.855737
1114,2.855929
1115,2.855779
1116,2.855612
1117,2.855685
1118,2.855755
1119,2.855796
1120,2.855682
1121,2.855242
1122,2.855159
1123,2.855461
1124,2.855407
1125,2.855072
1126,2.855161
1127,2.855254
1128,2.855103
1129,2.854558
1130,2.854623
1131,2.854727
1132,2.854809
1133,2.854708
1134,2.854517
1135,2.854463
1136,2.854378
1137,2.854408
1138,2.854243
1139,2.854285
1140,2.854138
1141,2.85417
1142,2.854066
1143,2.854028
1144,2.853786
1145,2.853645
1146,2.853358
1147,2.853319
1148,2.853492
1149,2.853224
1150,2.85329
1151,2.853231
1152,2.853332
1153,2.853404
1154,2.853096
1155,2.853386
1156,2.85339
1157,2.8528
1158,2.852762
1159,2.852811
1160,2.852849
1161,2.852608
1162,2.852407
1163,2.852167
1164,2.852329
1165,2.852309
1166,2.852419
1167,2.852243
1168,2.852303
1169,2.852402
1170,2.851742
1171,2.851978
1172,2.852188
1173,2.851858
1174,2.851862
