EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 51723/51846"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/07/29 01:28:06"

"V1: 2.000000, 0.000000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1"
656,2.833387
657,2.833398
658,2.833318
659,2.833069
660,2.832747
661,2.832725
662,2.832694
663,2.832742
664,2.832652
665,2.832701
666,2.832458
667,2.832475
668,2.832333
669,2.832221
670,2.832015
671,2.831792
672,2.831869
673,2.831923
674,2.831743
675,2.831524
676,2.831364
677,2.831245
678,2.831207
679,2.830828
680,2.830813
681,2.830883
682,2.830670
683,2.830672
684,2.830663
685,2.830270
686,2.830169
687,2.829911
688,2.829820
689,2.829620
690,2.829516
691,2.829330
692,2.829082
693,2.829083
694,2.828626
695,2.828769
696,2.828832
697,2.828685
698,2.828448
699,2.828528
700,2.828303
701,2.828076
702,2.827952
703,2.827992
704,2.827993
705,2.827883
706,2.827865
707,2.827672
708,2.827797
709,2.827717
710,2.827578
711,2.827497
712,2.827431
713,2.827337
714,2.826986
715,2.826937
716,2.827214
717,2.827118
718,2.826953
719,2.826624
720,2.826363
721,2.826297
722,2.826216
723,2.826136
724,2.826006
725,2.825980
726,2.825873
727,2.825799
728,2.825716
729,2.825535
730,2.825349
731,2.825179
732,2.825231
733,2.825083
734,2.825102
735,2.825206
736,2.825187
737,2.825075
738,2.825105
739,2.824899
740,2.824791
741,2.824710
742,2.824661
743,2.824569
744,2.824486
745,2.824309
746,2.824170
747,2.824053
748,2.823968
749,2.823729
750,2.823516
751,2.823689
752,2.823373
753,2.823317
754,2.823075
755,2.823137
756,2.823198
757,2.822957
758,2.822970
759,2.822891
760,2.822729
761,2.822422
762,2.822416
763,2.822340
764,2.822264
765,2.822160
766,2.821998
767,2.821677
768,2.821777
769,2.821568
770,2.821623
771,2.821784
772,2.822007
773,2.821729
774,2.821793
775,2.821732
776,2.821405
777,2.821294
778,2.821360
779,2.821378
780,2.821355
781,2.821116
782,2.820953
783,2.820822
784,2.820990
785,2.820839
786,2.821195
787,2.821066
788,2.820915
789,2.820735
790,2.820726
791,2.820801
792,2.820619
793,2.820822
794,2.820577
795,2.820771
796,2.820565
797,2.820212
798,2.820175
799,2.820112
800,2.820021
801,2.820004
802,2.819705
803,2.819790
804,2.819486
805,2.819568
806,2.819624
807,2.819611
808,2.819503
809,2.819497
810,2.819300
811,2.819070
812,2.819208
813,2.819095
814,2.818825
815,2.818941
816,2.818860
817,2.819026
818,2.819011
819,2.818859
820,2.818915
821,2.818700
822,2.818685
823,2.818807
824,2.818671
825,2.818678
826,2.818285
827,2.818388
828,2.818446
829,2.818618
830,2.818456
831,2.818510
832,2.818128
833,2.818227
834,2.818237
835,2.818090
836,2.817923
837,2.817767
838,2.817862
839,2.817885
840,2.817610
841,2.817515
842,2.817549
843,2.817531
844,2.817553
845,2.817271
846,2.817336
847,2.817313
848,2.817404
849,2.817277
850,2.817339
851,2.817076
852,2.817057
853,2.816969
854,2.817063
855,2.817123
856,2.816943
857,2.816765
858,2.816575
859,2.816447
860,2.816351
861,2.816515
862,2.816668
863,2.816526
864,2.816340
865,2.816528
866,2.816422
867,2.816242
868,2.816278
869,2.816514
870,2.816459
871,2.816081
872,2.815846
873,2.815777
874,2.816116
875,2.816265
876,2.816184
877,2.815957
878,2.815740
879,2.815634
880,2.815627
881,2.815981
882,2.815871
883,2.815575
884,2.815658
885,2.815768
886,2.815578
887,2.815507
888,2.815283
889,2.815348
890,2.815374
891,2.815228
892,2.814830
893,2.814987
894,2.814968
895,2.814831
896,2.815048
897,2.815088
898,2.814758
899,2.814743
900,2.814823
901,2.814770
902,2.814711
903,2.814569
904,2.814523
905,2.814750
906,2.814827
907,2.814568
908,2.814530
909,2.814482
910,2.814309
911,2.814224
912,2.814267
913,2.814282
914,2.814299
915,2.814214
916,2.814528
917,2.814754
918,2.814682
919,2.814579
920,2.814641
921,2.814581
922,2.814555
923,2.814672
924,2.814818
925,2.814754
926,2.814739
927,2.814489
928,2.814572
929,2.814686
930,2.814602
931,2.814604
932,2.814541
933,2.814471
934,2.814347
935,2.814576
936,2.814460
937,2.814453
938,2.814242
939,2.814275
940,2.814004
941,2.814093
942,2.814048
943,2.813868
944,2.813859
945,2.814013
946,2.813824
947,2.813905
948,2.814076
949,2.814160
950,2.814155
951,2.814176
952,2.814031
953,2.813915
954,2.813883
955,2.814123
956,2.814127
957,2.814087
958,2.814121
959,2.814062
960,2.813866
961,2.813641
962,2.813671
963,2.813824
964,2.813845
965,2.813827
966,2.813858
967,2.813927
968,2.813726
969,2.813573
970,2.813586
971,2.813674
972,2.813559
973,2.813585
974,2.813597
975,2.813478
976,2.813358
977,2.813368
978,2.813227
979,2.813340
980,2.813248
981,2.813264
982,2.813122
983,2.813308
984,2.813438
985,2.813464
986,2.813494
987,2.813528
988,2.813573
989,2.813403
990,2.813241
991,2.813136
992,2.812754
993,2.812828
994,2.812906
995,2.813132
996,2.812802
997,2.812738
998,2.812523
999,2.812413
1000,2.812312
1001,2.812365
1002,2.812626
1003,2.812475
1004,2.812692
1005,2.812618
1006,2.812572
1007,2.812443
1008,2.812312
1009,2.812301
1010,2.812258
1011,2.812250
1012,2.812192
1013,2.812368
1014,2.812565
1015,2.812486
1016,2.812274
1017,2.812053
1018,2.812131
1019,2.812262
1020,2.812248
1021,2.812105
1022,2.811938
1023,2.812191
1024,2.812014
1025,2.811634
1026,2.811749
1027,2.811526
1028,2.811703
1029,2.811647
1030,2.811654
1031,2.811510
1032,2.811321
1033,2.811340
1034,2.811198
1035,2.811287
1036,2.811252
1037,2.811180
1038,2.811166
1039,2.811099
1040,2.811215
1041,2.811362
1042,2.811366
1043,2.811267
1044,2.811142
1045,2.811023
1046,2.811033
1047,2.811057
1048,2.810847
1049,2.810805
1050,2.810806
1051,2.810907
1052,2.810790
1053,2.810554
1054,2.810439
1055,2.810444
1056,2.810411
1057,2.810321
1058,2.810323
1059,2.810263
1060,2.810166
1061,2.810237
1062,2.810464
1063,2.810177
1064,2.810274
1065,2.810441
1066,2.810471
1067,2.810280
1068,2.810506
1069,2.810478
1070,2.810143
1071,2.810256
1072,2.810371
1073,2.810281
1074,2.810334
1075,2.810253
1076,2.810417
1077,2.810432
1078,2.810049
1079,2.809996
1080,2.810022
1081,2.809943
1082,2.809895
1083,2.810053
1084,2.810064
1085,2.809982
1086,2.810090
1087,2.809990
1088,2.810013
1089,2.809966
1090,2.809923
1091,2.809841
1092,2.809703
1093,2.809629
1094,2.809725
1095,2.809586
1096,2.809266
1097,2.809107
1098,2.809110
1099,2.809271
1100,2.809346
1101,2.809256
1102,2.809284
1103,2.809262
1104,2.809236
1105,2.809371
1106,2.809187
1107,2.809170
1108,2.809383
1109,2.809568
1110,2.809418
1111,2.809175
1112,2.809051
1113,2.809259
1114,2.809093
1115,2.809155
1116,2.809108
1117,2.809191
1118,2.809327
1119,2.809369
1120,2.809244
1121,2.809078
1122,2.808780
1123,2.808623
1124,2.808720
1125,2.808649
1126,2.808438
1127,2.808477
1128,2.808588
1129,2.808438
1130,2.808511
1131,2.808370
1132,2.808481
1133,2.808413
1134,2.808370
1135,2.808568
1136,2.808470
1137,2.808541
1138,2.808445
1139,2.808268
1140,2.808380
1141,2.808315
1142,2.808313
1143,2.808517
1144,2.808407
1145,2.808359
1146,2.808485
1147,2.808428
1148,2.808563
1149,2.808648
1150,2.808510
1151,2.808413
1152,2.808433
1153,2.808208
1154,2.808179
1155,2.808007
1156,2.808084
1157,2.807899
1158,2.807864
1159,2.807808
1160,2.807987
1161,2.807579
1162,2.807570
1163,2.807572
1164,2.807655
1165,2.807487
1166,2.807528
1167,2.807344
1168,2.807386
1169,2.807438
1170,2.807440
1171,2.807416
1172,2.807387
1173,2.807399
1174,2.807357
1175,2.807303
1176,2.807440
1177,2.807553
1178,2.807406
