EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 120960/120960"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/03/15 10:47:44"

"V1: 0.500000, 1.421875"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1","Volt min 1","Volt max 1"
401,2.855861,2.083747,2.891145
402,2.855947,2.080879,2.891145
403,2.855713,2.079445,2.892580
404,2.855797,2.082313,2.891145
405,2.855840,2.080879,2.892580
406,2.855670,2.082313,2.891145
407,2.855938,2.080879,2.892580
408,2.855707,2.080879,2.891145
409,2.855901,2.082313,2.892580
410,2.855738,2.080879,2.891145
411,2.855635,2.082313,2.894014
412,2.855432,2.080879,2.892580
413,2.855378,2.080879,2.891145
414,2.855306,2.080879,2.891145
415,2.855474,2.079445,2.891145
416,2.855489,2.079445,2.891145
417,2.855597,2.080879,2.892580
418,2.855493,2.079445,2.891145
419,2.855544,2.082313,2.891145
420,2.855420,2.080879,2.891145
421,2.855392,2.080879,2.892580
422,2.855340,2.080879,2.891145
423,2.855685,2.080879,2.892580
424,2.855360,2.078011,2.892580
425,2.855667,2.078011,2.891145
426,2.855561,2.080879,2.891145
427,2.855247,2.078011,2.892580
428,2.855382,2.080879,2.891145
429,2.855486,2.080879,2.891145
430,2.855659,2.082313,2.894014
431,2.855640,2.080879,2.892580
432,2.855565,2.080879,2.892580
433,2.855567,2.082313,2.891145
434,2.855315,2.078011,2.891145
435,2.855377,2.080879,2.894014
436,2.855425,2.079445,2.891145
437,2.855587,2.079445,2.892580
438,2.855685,2.079445,2.892580
439,2.855526,2.082313,2.894014
440,2.855586,2.079445,2.891145
441,2.855946,2.080879,2.892580
442,2.855771,2.080879,2.891145
443,2.855921,2.080879,2.895448
444,2.856002,2.080879,2.892580
445,2.855716,2.082313,2.892580
446,2.855782,2.082313,2.892580
447,2.855725,2.079445,2.895448
448,2.855520,2.076577,2.892580
449,2.855553,2.079445,2.891145
450,2.855483,2.080879,2.892580
451,2.855340,2.080879,2.891145
452,2.855141,2.079445,2.891145
453,2.855045,2.075143,2.892580
454,2.855230,2.080879,2.891145
455,2.855296,2.079445,2.892580
456,2.855324,2.079445,2.891145
457,2.855072,2.078011,2.891145
458,2.855186,2.080879,2.891145
459,2.855322,2.079445,2.892580
460,2.855250,2.079445,2.892580
461,2.855163,2.078011,2.892580
462,2.855352,2.080879,2.894014
463,2.855393,2.079445,2.891145
464,2.855422,2.079445,2.894014
465,2.855289,2.076577,2.892580
466,2.855371,2.080879,2.892580
467,2.855168,2.075143,2.889711
468,2.855252,2.078011,2.889711
469,2.855307,2.079445,2.891145
470,2.855295,2.079445,2.892580
471,2.855325,2.079445,2.891145
472,2.855223,2.078011,2.891145
473,2.855553,2.078011,2.891145
474,2.855474,2.080879,2.892580
475,2.855140,2.080879,2.892580
476,2.855020,2.079445,2.891145
477,2.855191,2.078011,2.889711
478,2.855106,2.078011,2.891145
479,2.855053,2.079445,2.892580
480,2.855228,2.078011,2.892580
481,2.855466,2.079445,2.891145
482,2.855648,2.079445,2.892580
483,2.855576,2.080879,2.892580
484,2.855564,2.080879,2.891145
485,2.855422,2.080879,2.896882
486,2.855290,2.078011,2.892580
487,2.855263,2.080879,2.891145
488,2.854895,2.080879,2.891145
489,2.855000,2.080879,2.891145
490,2.855146,2.079445,2.891145
491,2.855268,2.078011,2.892580
492,2.855554,2.078011,2.892580
493,2.855496,2.079445,2.892580
494,2.855601,2.079445,2.892580
495,2.855723,2.079445,2.892580
496,2.855787,2.078011,2.895448
497,2.855747,2.079445,2.892580
498,2.855129,2.078011,2.892580
499,2.855088,2.079445,2.891145
500,2.855264,2.079445,2.892580
501,2.855025,2.079445,2.892580
502,2.855432,2.079445,2.891145
503,2.855221,2.079445,2.892580
504,2.855081,2.079445,2.894014
505,2.855221,2.075143,2.891145
506,2.855296,2.080879,2.891145
507,2.854998,2.076577,2.891145
508,2.854990,2.078011,2.891145
509,2.854954,2.078011,2.889711
510,2.855205,2.078011,2.892580
511,2.855034,2.079445,2.891145
512,2.855117,2.078011,2.891145
513,2.854740,2.078011,2.891145
514,2.854681,2.079445,2.891145
515,2.855101,2.080879,2.889711
516,2.854725,2.080879,2.889711
517,2.854591,2.076577,2.891145
518,2.854688,2.079445,2.891145
519,2.855017,2.079445,2.892580
520,2.855059,2.076577,2.894014
521,2.854902,2.079445,2.891145
522,2.855036,2.078011,2.891145
523,2.854859,2.079445,2.891145
524,2.854865,2.078011,2.892580
525,2.854895,2.078011,2.891145
526,2.854836,2.078011,2.892580
527,2.855089,2.078011,2.892580
528,2.855303,2.078011,2.891145
529,2.855334,2.078011,2.891145
530,2.855289,2.080879,2.892580
531,2.855402,2.079445,2.891145
532,2.855119,2.079445,2.894014
533,2.855534,2.082313,2.891145
534,2.855591,2.080879,2.891145
535,2.855439,2.080879,2.891145
536,2.855344,2.080879,2.892580
537,2.855556,2.079445,2.892580
538,2.855418,2.079445,2.891145
539,2.855702,2.079445,2.892580
540,2.855737,2.079445,2.892580
541,2.855811,2.078011,2.891145
542,2.855558,2.080879,2.891145
543,2.855398,2.080879,2.891145
544,2.855038,2.080879,2.891145
545,2.855444,2.078011,2.894014
546,2.855756,2.080879,2.892580
547,2.855479,2.080879,2.892580
548,2.855406,2.080879,2.892580
549,2.855415,2.080879,2.892580
550,2.855566,2.078011,2.892580
551,2.855430,2.080879,2.891145
552,2.855568,2.080879,2.891145
553,2.855594,2.079445,2.892580
554,2.855764,2.079445,2.894014
555,2.855704,2.079445,2.891145
556,2.855454,2.080879,2.891145
557,2.855400,2.079445,2.891145
558,2.855545,2.078011,2.894014
559,2.855460,2.082313,2.889711
560,2.855361,2.079445,2.891145
561,2.855197,2.079445,2.892580
562,2.855315,2.079445,2.891145
563,2.855257,2.079445,2.892580
564,2.855445,2.080879,2.891145
565,2.855517,2.075143,2.891145
566,2.855510,2.080879,2.892580
567,2.855408,2.078011,2.892580
568,2.855461,2.080879,2.891145
569,2.855421,2.075143,2.891145
570,2.855345,2.076577,2.892580
571,2.855056,2.079445,2.891145
572,2.855379,2.079445,2.894014
573,2.855300,2.079445,2.891145
574,2.855437,2.078011,2.889711
575,2.855523,2.079445,2.891145
576,2.855584,2.080879,2.891145
577,2.855764,2.079445,2.892580
578,2.855508,2.078011,2.891145
579,2.855194,2.078011,2.891145
580,2.855168,2.076577,2.891145
581,2.855420,2.079445,2.891145
582,2.855510,2.079445,2.891145
583,2.855315,2.079445,2.894014
584,2.855396,2.079445,2.892580
585,2.855402,2.078011,2.891145
586,2.855428,2.079445,2.891145
587,2.855297,2.076577,2.892580
588,2.855394,2.079445,2.891145
589,2.855336,2.079445,2.891145
590,2.855033,2.080879,2.892580
591,2.855022,2.080879,2.891145
592,2.854990,2.079445,2.892580
593,2.855147,2.080879,2.891145
594,2.855358,2.078011,2.891145
595,2.855396,2.079445,2.891145
596,2.855351,2.080879,2.891145
597,2.855519,2.082313,2.891145
598,2.855274,2.079445,2.891145
599,2.855308,2.080879,2.891145
600,2.855332,2.076577,2.891145
601,2.855605,2.080879,2.894014
602,2.855374,2.080879,2.891145
603,2.855301,2.082313,2.892580
604,2.855142,2.078011,2.891145
605,2.855279,2.080879,2.894014
606,2.855470,2.080879,2.892580
607,2.855678,2.080879,2.892580
608,2.855578,2.079445,2.891145
609,2.855461,2.079445,2.891145
610,2.855196,2.079445,2.889711
611,2.855441,2.079445,2.892580
612,2.855438,2.080879,2.891145
613,2.855550,2.078011,2.892580
614,2.855789,2.080879,2.891145
615,2.855813,2.080879,2.891145
616,2.855587,2.079445,2.892580
617,2.855783,2.080879,2.891145
618,2.855693,2.079445,2.892580
619,2.855869,2.080879,2.891145
620,2.855964,2.080879,2.892580
621,2.855760,2.080879,2.891145
622,2.855660,2.080879,2.892580
623,2.855413,2.080879,2.891145
624,2.855539,2.076577,2.891145
625,2.855133,2.079445,2.892580
626,2.854791,2.080879,2.891145
627,2.855137,2.080879,2.891145
628,2.855622,2.082313,2.892580
629,2.855385,2.079445,2.891145
630,2.855605,2.080879,2.892580
631,2.855433,2.078011,2.891145
632,2.855266,2.080879,2.892580
633,2.855757,2.080879,2.892580
634,2.855725,2.079445,2.891145
635,2.855486,2.079445,2.891145
636,2.855513,2.080879,2.892580
637,2.855617,2.082313,2.892580
638,2.855353,2.079445,2.891145
639,2.855420,2.080879,2.891145
640,2.855473,2.080879,2.891145
641,2.855174,2.079445,2.891145
642,2.855045,2.079445,2.892580
643,2.854983,2.080879,2.891145
644,2.854939,2.080879,2.891145
645,2.855064,2.080879,2.891145
646,2.855016,2.079445,2.892580
647,2.854868,2.078011,2.891145
648,2.855064,2.079445,2.891145
649,2.854838,2.079445,2.889711
650,2.854747,2.079445,2.889711
651,2.854877,2.080879,2.892580
652,2.854725,2.079445,2.892580
653,2.854891,2.079445,2.892580
654,2.854877,2.078011,2.891145
655,2.854715,2.080879,2.892580
656,2.854856,2.080879,2.892580
657,2.854921,2.080879,2.891145
658,2.854479,2.080879,2.891145
659,2.855405,2.080879,2.892580
660,2.855234,2.078011,2.891145
661,2.855175,2.079445,2.891145
662,2.854974,2.080879,2.892580
663,2.855018,2.082313,2.892580
664,2.854806,2.080879,2.891145
665,2.855022,2.080879,2.894014
666,2.855034,2.080879,2.891145
667,2.854883,2.079445,2.894014
668,2.855282,2.078011,2.894014
669,2.855189,2.082313,2.891145
670,2.855073,2.080879,2.889711
671,2.855072,2.079445,2.891145
672,2.855162,2.079445,2.892580
673,2.855511,2.080879,2.892580
674,2.855008,2.080879,2.894014
675,2.855482,2.080879,2.891145
676,2.855783,2.080879,2.891145
677,2.855518,2.080879,2.892580
678,2.855496,2.078011,2.894014
679,2.855409,2.082313,2.892580
680,2.855481,2.080879,2.891145
681,2.855492,2.079445,2.892580
682,2.855472,2.080879,2.892580
683,2.855292,2.082313,2.891145
684,2.855366,2.082313,2.891145
685,2.855318,2.080879,2.891145
686,2.855029,2.083747,2.892580
687,2.855184,2.080879,2.891145
688,2.855057,2.079445,2.891145
689,2.855673,2.082313,2.891145
690,2.855857,2.080879,2.891145
691,2.855624,2.080879,2.891145
692,2.855497,2.080879,2.892580
693,2.855270,2.080879,2.891145
694,2.854971,2.080879,2.891145
695,2.854661,2.079445,2.892580
696,2.854744,2.080879,2.894014
697,2.854870,2.080879,2.892580
698,2.854884,2.080879,2.891145
699,2.854925,2.080879,2.889711
700,2.855046,2.082313,2.892580
701,2.855085,2.080879,2.891145
702,2.854994,2.079445,2.894014
703,2.855091,2.079445,2.891145
704,2.855105,2.079445,2.892580
705,2.855057,2.080879,2.891145
706,2.854793,2.082313,2.892580
707,2.854789,2.079445,2.889711
708,2.854569,2.080879,2.891145
709,2.854837,2.080879,2.891145
710,2.854961,2.082313,2.892580
711,2.854762,2.079445,2.891145
712,2.854959,2.079445,2.892580
713,2.854974,2.079445,2.891145
714,2.854841,2.079445,2.889711
715,2.855084,2.079445,2.889711
716,2.855086,2.079445,2.892580
717,2.855012,2.079445,2.891145
718,2.855144,2.079445,2.891145
719,2.855270,2.078011,2.891145
720,2.855122,2.082313,2.892580
721,2.855143,2.078011,2.889711
722,2.855133,2.079445,2.894014
723,2.854887,2.079445,2.889711
724,2.854659,2.080879,2.891145
725,2.854680,2.080879,2.891145
726,2.854697,2.078011,2.891145
727,2.854593,2.078011,2.891145
728,2.854817,2.079445,2.891145
729,2.855164,2.078011,2.891145
730,2.854993,2.078011,2.892580
731,2.855255,2.080879,2.891145
732,2.855106,2.080879,2.891145
733,2.855119,2.078011,2.891145
734,2.855189,2.079445,2.892580
735,2.855131,2.080879,2.891145
736,2.855002,2.079445,2.892580
737,2.855069,2.078011,2.894014
738,2.855015,2.079445,2.891145
739,2.855092,2.080879,2.891145
740,2.854835,2.080879,2.891145
741,2.854991,2.080879,2.889711
742,2.854896,2.079445,2.891145
743,2.854783,2.078011,2.889711
744,2.854460,2.079445,2.891145
745,2.854519,2.080879,2.891145
746,2.854399,2.080879,2.891145
747,2.854523,2.078011,2.891145
748,2.854497,2.076577,2.891145
749,2.854731,2.078011,2.892580
750,2.854624,2.078011,2.891145
751,2.854627,2.078011,2.889711
752,2.854870,2.078011,2.891145
753,2.855088,2.080879,2.891145
754,2.855208,2.078011,2.892580
755,2.854878,2.075143,2.891145
756,2.854813,2.076577,2.891145
757,2.855062,2.079445,2.891145
758,2.855042,2.079445,2.891145
759,2.855164,2.079445,2.891145
760,2.855325,2.078011,2.891145
761,2.855090,2.078011,2.891145
762,2.855191,2.078011,2.892580
763,2.855705,2.080879,2.894014
764,2.855632,2.080879,2.891145
765,2.855478,2.076577,2.892580
766,2.855646,2.078011,2.892580
767,2.855637,2.080879,2.895448
768,2.855619,2.080879,2.892580
769,2.855610,2.079445,2.892580
770,2.855716,2.079445,2.891145
771,2.855590,2.079445,2.891145
772,2.855617,2.076577,2.892580
773,2.855430,2.076577,2.892580
774,2.855339,2.078011,2.891145
775,2.855397,2.075143,2.891145
776,2.855565,2.075143,2.892580
777,2.855511,2.079445,2.892580
778,2.855557,2.079445,2.891145
779,2.855947,2.079445,2.891145
780,2.855780,2.078011,2.892580
781,2.855715,2.080879,2.891145
782,2.855502,2.079445,2.894014
