EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/02/28 13:50:20,,,
,,,
"V1: 0.500000, 1.440000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
324,3.163581,2.964285,3.189438
325,3.163496,2.962851,3.189438
326,3.163619,2.962851,3.189438
327,3.164054,2.961416,3.190872
328,3.16376,2.964285,3.190872
329,3.163885,2.961416,3.193741
330,3.163881,2.962851,3.188004
331,3.163679,2.961416,3.189438
332,3.163503,2.961416,3.189438
333,3.163379,2.958548,3.189438
334,3.163322,2.962851,3.188004
335,3.163441,2.962851,3.192307
336,3.163299,2.964285,3.189438
337,3.163299,2.964285,3.188004
338,3.163124,2.962851,3.189438
339,3.16308,2.962851,3.190872
340,3.163246,2.964285,3.189438
341,3.163315,2.961416,3.190872
342,3.163033,2.961416,3.189438
343,3.162953,2.962851,3.188004
344,3.163012,2.964285,3.188004
345,3.162941,2.958548,3.189438
346,3.162881,2.961416,3.188004
347,3.163269,2.962851,3.190872
348,3.162863,2.962851,3.189438
349,3.162675,2.961416,3.190872
350,3.162924,2.961416,3.18657
351,3.163075,2.962851,3.188004
352,3.162616,2.959982,3.188004
353,3.162421,2.961416,3.190872
354,3.162365,2.961416,3.189438
355,3.162625,2.964285,3.188004
356,3.16268,2.962851,3.190872
357,3.16262,2.962851,3.188004
358,3.16222,2.961416,3.189438
359,3.162249,2.962851,3.188004
360,3.162258,2.962851,3.189438
361,3.162791,2.964285,3.188004
362,3.162675,2.961416,3.189438
363,3.162441,2.961416,3.189438
364,3.162413,2.958548,3.189438
365,3.162258,2.959982,3.188004
366,3.162467,2.961416,3.188004
367,3.162141,2.962851,3.188004
368,3.162176,2.959982,3.18657
369,3.1622,2.959982,3.190872
370,3.162374,2.961416,3.188004
371,3.162371,2.959982,3.18657
372,3.162495,2.959982,3.189438
373,3.162114,2.961416,3.189438
374,3.161836,2.959982,3.18657
375,3.162031,2.959982,3.188004
376,3.162033,2.959982,3.18657
377,3.16192,2.959982,3.188004
378,3.162041,2.959982,3.188004
379,3.16203,2.962851,3.188004
380,3.161618,2.961416,3.190872
381,3.161645,2.959982,3.185136
382,3.161554,2.962851,3.188004
383,3.161777,2.958548,3.18657
384,3.161833,2.961416,3.188004
385,3.161999,2.959982,3.189438
386,3.162148,2.962851,3.18657
387,3.161959,2.961416,3.18657
388,3.161883,2.959982,3.188004
389,3.16191,2.959982,3.18657
390,3.161873,2.959982,3.189438
391,3.161856,2.958548,3.18657
392,3.161825,2.959982,3.188004
393,3.161666,2.961416,3.189438
394,3.161695,2.961416,3.190872
395,3.161453,2.959982,3.18657
396,3.161481,2.959982,3.189438
397,3.161554,2.962851,3.188004
398,3.161755,2.962851,3.188004
399,3.161414,2.961416,3.188004
400,3.161608,2.958548,3.18657
401,3.161521,2.962851,3.188004
402,3.161505,2.958548,3.18657
403,3.16155,2.959982,3.188004
404,3.161158,2.962851,3.18657
405,3.16122,2.961416,3.18657
406,3.161152,2.961416,3.18657
407,3.160963,2.959982,3.18657
408,3.16079,2.959982,3.18657
409,3.160958,2.958548,3.189438
410,3.161008,2.961416,3.18657
411,3.161126,2.961416,3.189438
412,3.161148,2.959982,3.188004
413,3.160829,2.961416,3.18657
414,3.161014,2.962851,3.18657
415,3.161286,2.957114,3.18657
416,3.161212,2.961416,3.188004
417,3.16092,2.957114,3.18657
418,3.160678,2.959982,3.18657
419,3.160704,2.961416,3.185136
420,3.160718,2.958548,3.18657
421,3.160919,2.959982,3.189438
422,3.160862,2.959982,3.188004
423,3.161362,2.961416,3.188004
424,3.16119,2.961416,3.188004
425,3.161033,2.959982,3.185136
426,3.16119,2.958548,3.18657
427,3.161317,2.964285,3.18657
428,3.160879,2.961416,3.185136
429,3.160854,2.958548,3.18657
430,3.16071,2.961416,3.18657
431,3.160704,2.958548,3.188004
432,3.160501,2.958548,3.185136
433,3.160669,2.961416,3.18657
434,3.160922,2.958548,3.18657
435,3.161074,2.959982,3.189438
436,3.160912,2.959982,3.18657
437,3.160893,2.961416,3.18657
438,3.160861,2.959982,3.18657
439,3.16072,2.958548,3.18657
440,3.1603,2.958548,3.18657
441,3.160618,2.959982,3.185136
442,3.160587,2.957114,3.18657
443,3.160888,2.957114,3.18657
444,3.160501,2.958548,3.18657
445,3.160372,2.957114,3.188004
446,3.16023,2.958548,3.185136
447,3.160194,2.958548,3.18657
448,3.159991,2.961416,3.18657
449,3.159644,2.961416,3.183702
450,3.160227,2.961416,3.18657
451,3.160007,2.961416,3.185136
452,3.159787,2.959982,3.18657
453,3.159867,2.959982,3.185136
454,3.159834,2.957114,3.185136
455,3.159815,2.959982,3.18657
456,3.159361,2.959982,3.18657
457,3.159364,2.958548,3.183702
458,3.159424,2.958548,3.183702
459,3.159118,2.958548,3.183702
460,3.159077,2.959982,3.18657
461,3.159184,2.957114,3.185136
462,3.159345,2.961416,3.185136
463,3.159195,2.95568,3.185136
464,3.15894,2.957114,3.185136
465,3.158984,2.95568,3.185136
