EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 120960/120960"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/03/15 10:51:14"

"V1: 0.500000, 1.440000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1","Volt min 1","Volt max 1"
662,2.892832,2.435102,2.915525
663,2.892890,2.435102,2.914091
664,2.892934,2.435102,2.915525
665,2.893264,2.435102,2.915525
666,2.893287,2.436536,2.916959
667,2.892995,2.435102,2.914091
668,2.893192,2.432234,2.915525
669,2.893177,2.433668,2.916959
670,2.893180,2.435102,2.914091
671,2.893283,2.436536,2.914091
672,2.893241,2.435102,2.916959
673,2.893323,2.435102,2.916959
674,2.893540,2.433668,2.916959
675,2.893420,2.432234,2.915525
676,2.893293,2.433668,2.915525
677,2.893414,2.433668,2.915525
678,2.893234,2.435102,2.915525
679,2.893188,2.433668,2.915525
680,2.893373,2.435102,2.915525
681,2.892996,2.433668,2.915525
682,2.892875,2.435102,2.915525
683,2.893000,2.433668,2.915525
684,2.892953,2.433668,2.915525
685,2.892886,2.433668,2.916959
686,2.893042,2.435102,2.916959
687,2.892844,2.432234,2.914091
688,2.892825,2.435102,2.916959
689,2.893193,2.433668,2.918393
690,2.893023,2.433668,2.916959
691,2.892871,2.436536,2.916959
692,2.893122,2.435102,2.916959
693,2.893003,2.433668,2.915525
694,2.892900,2.433668,2.915525
695,2.893111,2.436536,2.915525
696,2.893229,2.435102,2.915525
697,2.892841,2.432234,2.915525
698,2.892621,2.433668,2.915525
699,2.892736,2.433668,2.915525
700,2.892863,2.433668,2.915525
701,2.892986,2.432234,2.915525
702,2.892826,2.433668,2.915525
703,2.893053,2.433668,2.915525
704,2.893111,2.435102,2.915525
705,2.892924,2.433668,2.915525
706,2.892734,2.433668,2.915525
707,2.892826,2.432234,2.915525
708,2.893091,2.432234,2.915525
709,2.892872,2.433668,2.915525
710,2.892961,2.433668,2.914091
711,2.892982,2.432234,2.915525
712,2.892942,2.433668,2.914091
713,2.893130,2.433668,2.915525
714,2.892995,2.433668,2.915525
715,2.892829,2.435102,2.915525
716,2.892833,2.430799,2.915525
717,2.892912,2.432234,2.915525
718,2.892898,2.432234,2.916959
719,2.892890,2.433668,2.915525
720,2.892878,2.430799,2.915525
721,2.892887,2.435102,2.915525
722,2.892815,2.432234,2.915525
723,2.892753,2.430799,2.915525
724,2.892478,2.430799,2.915525
725,2.893004,2.433668,2.915525
726,2.893146,2.433668,2.915525
727,2.893341,2.432234,2.916959
728,2.893076,2.432234,2.914091
729,2.893234,2.433668,2.915525
730,2.893343,2.433668,2.916959
731,2.893431,2.433668,2.916959
732,2.893559,2.433668,2.916959
733,2.893541,2.432234,2.916959
734,2.893539,2.433668,2.915525
735,2.893279,2.433668,2.916959
736,2.893202,2.433668,2.916959
737,2.893315,2.433668,2.915525
738,2.893080,2.433668,2.916959
739,2.893179,2.432234,2.915525
740,2.893421,2.433668,2.915525
741,2.893346,2.430799,2.915525
742,2.893040,2.433668,2.915525
743,2.892973,2.433668,2.915525
744,2.892807,2.430799,2.918393
745,2.892780,2.432234,2.915525
746,2.893126,2.432234,2.915525
747,2.893002,2.435102,2.915525
748,2.892631,2.432234,2.915525
749,2.892567,2.430799,2.915525
750,2.892186,2.430799,2.915525
751,2.892098,2.429365,2.915525
752,2.892707,2.430799,2.915525
753,2.892787,2.432234,2.915525
754,2.892816,2.429365,2.915525
755,2.893027,2.433668,2.919827
756,2.892698,2.433668,2.916959
757,2.892517,2.433668,2.914091
758,2.892660,2.432234,2.915525
759,2.892758,2.433668,2.915525
760,2.892794,2.430799,2.915525
761,2.892830,2.433668,2.914091
762,2.892645,2.432234,2.915525
763,2.892839,2.430799,2.915525
764,2.892689,2.432234,2.915525
765,2.892645,2.433668,2.915525
766,2.892770,2.432234,2.916959
767,2.892797,2.432234,2.914091
768,2.892560,2.432234,2.914091
769,2.892642,2.430799,2.914091
770,2.892782,2.432234,2.915525
771,2.892837,2.432234,2.915525
772,2.892935,2.430799,2.916959
773,2.893086,2.430799,2.916959
774,2.892843,2.432234,2.915525
775,2.892755,2.430799,2.916959
