EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: -3.111111"
"Trigger position: 0"
"Sample interval: 0.49999872"
"Number of sample: 172800/172800"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/03/04 04:03:13"

"V1: 0.500000, 1.220000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1"
1234,2.439711
1235,2.439567
1236,2.439758
1237,2.439555
1238,2.439601
1239,2.439536
1240,2.439584
1241,2.439391
1242,2.439409
1243,2.439356
1244,2.439622
1245,2.439376
1246,2.439582
1247,2.439540
1248,2.439544
1249,2.439852
1250,2.439737
1251,2.439784
1252,2.439750
1253,2.439932
1254,2.439946
1255,2.439475
1256,2.439476
1257,2.440002
1258,2.439677
1259,2.439679
1260,2.439664
1261,2.439644
1262,2.439462
1263,2.439749
1264,2.439840
1265,2.439683
1266,2.439577
1267,2.439579
1268,2.439575
1269,2.439649
1270,2.439597
1271,2.439549
1272,2.439606
1273,2.439472
1274,2.439534
1275,2.439670
1276,2.439652
1277,2.439625
1278,2.439642
1279,2.439767
1280,2.439578
1281,2.439633
1282,2.439445
1283,2.439274
1284,2.439122
1285,2.439349
1286,2.439864
1287,2.439649
1288,2.439463
1289,2.439477
1290,2.439853
1291,2.439546
1292,2.439399
1293,2.439317
1294,2.439424
1295,2.439451
1296,2.439391
1297,2.439289
1298,2.439342
1299,2.439624
1300,2.439491
1301,2.439242
1302,2.439139
1303,2.439203
1304,2.439421
1305,2.439451
1306,2.439385
1307,2.439609
1308,2.439600
1309,2.439514
1310,2.439836
1311,2.440008
1312,2.439823
1313,2.439941
1314,2.439620
1315,2.439317
1316,2.439661
1317,2.439363
1318,2.439413
1319,2.439734
1320,2.439722
1321,2.439766
1322,2.439362
1323,2.439298
1324,2.439739
1325,2.439778
1326,2.439781
1327,2.439591
1328,2.439630
1329,2.439323
1330,2.439590
1331,2.439633
1332,2.439615
1333,2.439320
1334,2.439598
1335,2.439620
1336,2.439810
1337,2.439881
1338,2.439755
1339,2.439681
1340,2.439488
1341,2.439364
1342,2.439563
1343,2.439540
1344,2.439624
1345,2.439663
1346,2.439741
1347,2.439528
1348,2.439097
1349,2.439445
1350,2.439456
1351,2.439301
1352,2.439375
1353,2.439605
1354,2.439272
1355,2.439244
1356,2.439478
1357,2.439372
1358,2.439327
1359,2.438983
1360,2.439394
1361,2.439115
1362,2.439468
1363,2.439502
1364,2.439358
1365,2.439162
1366,2.439238
1367,2.439356
1368,2.439271
1369,2.439486
1370,2.439299
1371,2.439015
1372,2.439372
1373,2.439210
1374,2.439370
1375,2.439302
1376,2.439597
1377,2.439368
1378,2.439170
1379,2.438975
1380,2.439139
1381,2.439234
1382,2.439256
1383,2.438932
1384,2.439262
1385,2.439331
1386,2.439148
1387,2.439241
1388,2.439391
1389,2.439386
1390,2.439432
1391,2.439278
1392,2.439084
1393,2.439131
1394,2.439297
1395,2.439382
1396,2.439196
1397,2.439398
1398,2.439203
1399,2.439137
1400,2.439272
1401,2.439435
1402,2.439620
1403,2.439564
1404,2.439679
1405,2.439402
1406,2.439410
1407,2.439592
1408,2.439142
1409,2.439143
1410,2.439163
1411,2.439098
1412,2.439079
1413,2.439188
1414,2.439376
1415,2.439276
1416,2.439473
1417,2.439312
1418,2.439136
1419,2.439615
1420,2.439602
1421,2.439481
1422,2.439463
1423,2.439799
1424,2.439467
1425,2.439560
1426,2.439410
1427,2.439365
1428,2.439389
1429,2.439382
1430,2.439468
1431,2.439207
1432,2.439050
1433,2.439288
1434,2.439471
1435,2.439429
1436,2.439428
1437,2.439464
1438,2.439602
1439,2.439819
1440,2.439614
1441,2.439573
1442,2.439389
1443,2.439225
1444,2.439564
1445,2.439671
1446,2.439248
1447,2.439484
1448,2.439425
1449,2.439420
1450,2.439222
1451,2.439382
1452,2.439169
1453,2.439249
1454,2.439044
1455,2.439325
1456,2.439150
1457,2.439304
1458,2.439084
1459,2.439294
1460,2.439091
1461,2.439223
1462,2.439185
1463,2.439134
1464,2.439129
1465,2.439055
1466,2.439143
1467,2.439016
1468,2.439170
1469,2.439234
1470,2.439046
1471,2.439132
1472,2.439286
1473,2.439414
1474,2.439076
1475,2.439006
1476,2.439276
1477,2.439400
1478,2.439007
1479,2.438955
1480,2.439081
1481,2.438893
1482,2.439109
1483,2.438714
1484,2.438938
1485,2.439084
1486,2.438849
1487,2.438886
1488,2.438960
1489,2.438998
1490,2.438892
1491,2.439086
1492,2.439007
1493,2.438634
1494,2.438759
1495,2.438652
1496,2.438796
1497,2.438767
1498,2.438775
1499,2.438717
1500,2.438667
1501,2.438718
1502,2.438645
1503,2.438839
1504,2.438497
1505,2.438714
1506,2.438682
1507,2.438698
1508,2.438762
1509,2.438929
1510,2.438825
1511,2.438658
1512,2.438525
1513,2.438601
1514,2.438744
1515,2.438989
1516,2.438870
1517,2.438769
1518,2.438862
1519,2.439131
1520,2.439018
1521,2.438812
1522,2.438794
1523,2.438687
1524,2.438598
1525,2.438650
1526,2.438654
1527,2.438704
1528,2.438492
1529,2.438504
1530,2.438543
1531,2.438650
1532,2.438504
1533,2.438673
1534,2.438665
1535,2.438601
1536,2.438647
1537,2.438693
1538,2.438822
1539,2.438663
1540,2.438586
1541,2.438563
1542,2.438175
1543,2.438464
1544,2.438726
1545,2.438717
1546,2.438458
1547,2.438360
1548,2.438370
1549,2.438427
1550,2.438447
1551,2.438660
1552,2.438905
1553,2.438591
1554,2.438885
1555,2.439039
1556,2.438650
1557,2.438361
1558,2.438816
1559,2.438941
1560,2.438811
1561,2.438888
1562,2.438946
1563,2.438945
1564,2.438951
1565,2.439069
1566,2.439031
1567,2.439170
1568,2.438883
1569,2.439094
1570,2.438694
1571,2.438561
1572,2.438731
1573,2.438968
1574,2.438837
1575,2.438690
1576,2.438654
1577,2.438365
1578,2.438310
1579,2.438648
1580,2.438688
1581,2.438316
1582,2.438538
1583,2.438456
1584,2.438653
1585,2.438405
1586,2.438642
1587,2.438625
1588,2.438383
1589,2.438297
1590,2.438226
1591,2.438333
1592,2.438255
1593,2.438233
1594,2.438349
1595,2.438194
1596,2.438141
1597,2.438565
1598,2.438131
1599,2.438125
1600,2.438168
1601,2.438358
1602,2.438397
1603,2.438282
1604,2.438553
1605,2.438629
1606,2.438387
1607,2.438464
1608,2.438457
1609,2.438452
1610,2.438374
1611,2.438263
1612,2.438006
1613,2.438406
1614,2.438399
1615,2.438003
1616,2.437999
1617,2.438407
1618,2.438702
1619,2.438642
1620,2.438503
1621,2.438479
1622,2.438567
1623,2.438782
1624,2.438721
1625,2.438456
1626,2.438662
1627,2.438478
1628,2.438626
1629,2.438233
1630,2.438474
1631,2.438452
1632,2.438434
1633,2.438741
1634,2.438407
1635,2.438471
1636,2.438615
1637,2.438596
1638,2.438791
1639,2.438591
1640,2.438636
1641,2.438520
1642,2.438412
1643,2.438354
1644,2.438124
1645,2.438294
1646,2.438242
1647,2.438095
1648,2.438077
1649,2.437948
1650,2.438403
1651,2.438379
1652,2.438170
1653,2.438443
1654,2.438260
1655,2.438334
1656,2.438537
1657,2.438514
1658,2.438383
1659,2.438061
1660,2.438188
1661,2.438458
1662,2.438492
1663,2.438341
1664,2.438351
1665,2.438174
1666,2.438223
1667,2.438240
1668,2.438433
1669,2.438152
1670,2.438076
1671,2.438096
1672,2.437994
1673,2.438071
1674,2.438159
1675,2.438395
1676,2.438534
1677,2.438697
1678,2.438134
1679,2.438163
1680,2.437556
1681,2.437861
1682,2.437727
1683,2.438084
1684,2.438105
1685,2.438300
1686,2.438019
1687,2.438162
1688,2.438068
1689,2.437998
1690,2.437907
1691,2.437843
1692,2.437808
1693,2.437484
1694,2.437709
1695,2.437682
1696,2.437696
1697,2.437444
1698,2.437637
1699,2.437544
1700,2.437785
1701,2.437944
1702,2.437748
1703,2.437756
1704,2.437841
1705,2.438026
1706,2.437793
1707,2.437874
1708,2.437950
1709,2.437923
1710,2.437600
1711,2.437354
