EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 51175/51840"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/07/12 06:25:07"

"V1: 1.000000, 1.562500"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1"
1451,2.784662
1452,2.784917
1453,2.785099
1454,2.785120
1455,2.785172
1456,2.785001
1457,2.784922
1458,2.785069
1459,2.785215
1460,2.785451
1461,2.784884
1462,2.784757
1463,2.784546
1464,2.784495
1465,2.784500
1466,2.784722
1467,2.784742
1468,2.784671
1469,2.784519
1470,2.784825
1471,2.784485
1472,2.784544
1473,2.784570
1474,2.784447
1475,2.784666
1476,2.784840
1477,2.784850
1478,2.784705
1479,2.784797
1480,2.785136
1481,2.784733
1482,2.784801
1483,2.784604
1484,2.784454
1485,2.784626
1486,2.784697
1487,2.784570
1488,2.784505
1489,2.784115
1490,2.784091
1491,2.784314
1492,2.784365
1493,2.784513
1494,2.784485
1495,2.784295
1496,2.784216
1497,2.784523
1498,2.784794
1499,2.784403
1500,2.784296
1501,2.784350
1502,2.784178
1503,2.783820
1504,2.783962
1505,2.784012
1506,2.783933
1507,2.783951
1508,2.783979
1509,2.784093
1510,2.783888
1511,2.783804
1512,2.783949
1513,2.784229
1514,2.784099
1515,2.784154
1516,2.784183
1517,2.784247
1518,2.784172
1519,2.784539
1520,2.784439
1521,2.784307
1522,2.784204
1523,2.783965
1524,2.783727
1525,2.783804
1526,2.784002
1527,2.783844
1528,2.783659
1529,2.783712
1530,2.783596
1531,2.783934
1532,2.783837
1533,2.784074
1534,2.784105
1535,2.783883
1536,2.783706
1537,2.783683
1538,2.783781
1539,2.783609
1540,2.783691
1541,2.783480
1542,2.783537
1543,2.783606
1544,2.783396
1545,2.783308
1546,2.783314
1547,2.783492
1548,2.783333
1549,2.783140
1550,2.783161
1551,2.783125
1552,2.783334
1553,2.783224
1554,2.783080
1555,2.783072
1556,2.782998
1557,2.783116
1558,2.783309
1559,2.783103
1560,2.782851
1561,2.782931
1562,2.783139
1563,2.783212
1564,2.783381
1565,2.783392
1566,2.783375
1567,2.783368
1568,2.783298
1569,2.783094
1570,2.783203
1571,2.783317
1572,2.783243
1573,2.783177
1574,2.783388
1575,2.783319
1576,2.783311
1577,2.783365
1578,2.783608
1579,2.783293
1580,2.783275
1581,2.782993
1582,2.783240
1583,2.783335
1584,2.783376
1585,2.783154
1586,2.783171
1587,2.783093
1588,2.783002
1589,2.783130
1590,2.783128
1591,2.782985
1592,2.783113
1593,2.783173
1594,2.782684
1595,2.782720
1596,2.782717
1597,2.782726
1598,2.782884
1599,2.783270
1600,2.783393
1601,2.783108
1602,2.783232
1603,2.783019
1604,2.783073
1605,2.782837
1606,2.782767
1607,2.782679
1608,2.782506
1609,2.782622
1610,2.782646
1611,2.782324
1612,2.782239
1613,2.782372
1614,2.782326
1615,2.782188
1616,2.782209
1617,2.782402
1618,2.782476
1619,2.782422
1620,2.782252
1621,2.782041
1622,2.782105
1623,2.782111
1624,2.781971
1625,2.782137
1626,2.782092
1627,2.781998
1628,2.781930
1629,2.781667
1630,2.781626
1631,2.781802
1632,2.782133
1633,2.782113
1634,2.781687
1635,2.781902
1636,2.782203
1637,2.781989
1638,2.781983
1639,2.782115
1640,2.781996
1641,2.782175
1642,2.782022
1643,2.781761
1644,2.781617
1645,2.781731
1646,2.781818
1647,2.782114
1648,2.782012
1649,2.782012
1650,2.782073
1651,2.781858
1652,2.781864
1653,2.781826
1654,2.781566
1655,2.781809
1656,2.782008
1657,2.782051
1658,2.781891
1659,2.781727
1660,2.782021
1661,2.781818
1662,2.781766
1663,2.781668
1664,2.781489
1665,2.781615
1666,2.781729
1667,2.781308
1668,2.781749
1669,2.781678
1670,2.781512
1671,2.781490
1672,2.781637
1673,2.781525
1674,2.781569
1675,2.781307
1676,2.781091
1677,2.781246
1678,2.781554
1679,2.781420
1680,2.781261
1681,2.781075
1682,2.781222
1683,2.781493
1684,2.781208
1685,2.781247
1686,2.781013
1687,2.781208
1688,2.781094
1689,2.781251
1690,2.781460
1691,2.781451
1692,2.781427
1693,2.781341
1694,2.781311
